Mes;Dia;Hora;Ta;Global;Difusa
3;8;15;20.56;514;148
3;8;16;20.35;337;130
3;8;17;19.47;160;72
3;9;7;3.16;45;25
3;9;8;5;230;81
3;9;9;10.17;415;118
3;9;10;13.24;573;142
3;9;11;15.34;680;162
3;9;12;17.08;684;240
3;9;13;18.38;727;161
3;9;14;19.23;666;134
3;9;15;19.58;511;161
3;9;16;19.39;357;112
3;9;17;18.38;159;76
3;10;7;2.92;47;27
3;10;8;5.44;237;81
3;10;9;11;426;113
3;10;10;14.6;585;132
3;10;11;16.69;693;149
3;10;12;18.32;705;218
3;10;13;19.52;736;154
3;10;14;20.19;660;153
3;10;15;20.4;536;132
3;10;16;20.12;368;105
3;10;17;19.09;174;66
3;11;7;3.57;53;29
3;11;8;5.63;243;82
3;11;9;11.44;429;117
3;11;10;15.09;595;128
3;11;11;16.86;699;150
3;11;12;18.19;715;214
3;11;13;19.19;741;154
3;11;14;19.78;668;147
3;11;15;20.03;543;127
3;11;16;19.79;372;105
3;11;17;18.83;160;84
3;12;7;3.44;57;31
3;12;8;5.78;235;99
3;12;9;11.26;450;95
3;12;10;14.67;604;122
3;12;11;16.42;701;158
3;12;12;17.69;736;191
3;12;13;18.63;751;148
3;12;14;19.24;681;135
3;12;15;19.42;554;118
3;12;16;19.16;353;134
3;12;17;18.21;176;75
3;13;7;5.3;55;36
3;13;8;7.37;164;131
3;13;9;10.41;356;205
3;13;10;13.04;593;150
3;13;11;14.74;648;242
3;13;12;16.09;754;171
3;13;13;17.09;760;141
3;13;14;18.01;682;142
3;13;15;18.14;552;128
3;13;16;17.97;363;128
3;13;17;17.27;185;71
3;14;7;3.87;66;34
3;14;8;5.4;258;87
3;14;9;7.16;447;120
3;14;10;8.41;609;135
3;14;11;9.74;712;159
3;14;12;11.05;743;198
3;14;13;12.13;757;156
3;14;14;12.91;691;136
3;14;15;13.4;560;124
3;14;16;13.53;386;103
3;14;17;13.37;192;66
3;15;7;-0.56;71;36
3;15;8;2.24;267;84
3;15;9;6.68;456;117
3;15;10;8.34;618;129
3;15;11;9.51;722;153
3;15;12;10.67;714;247
3;15;13;11.8;758;164
3;15;14;12.09;427;340
3;15;15;12.19;356;279
3;15;16;12.05;140;139
3;15;17;11.42;72;71
3;16;7;0.28;75;38
3;16;8;2.72;268;91
3;16;9;5.96;456;125
3;16;10;7.54;621;136
3;16;11;8.88;727;153
3;16;12;10.14;761;186
3;16;13;11.19;763;164
3;16;14;11.93;692;149
3;16;15;12.37;563;135
3;16;16;12.48;393;108
3;16;17;12.25;194;74
3;17;7;3.92;52;44
3;17;8;5.18;114;111
3;17;9;6.73;146;146
3;17;10;8.04;125;125
3;17;11;9.5;71;71
3;17;12;10.82;71;71
3;17;13;11.83;230;230
3;17;14;12.54;271;265
3;17;15;13.06;514;207
3;17;16;13.52;405;94
3;17;17;13.19;129;105
3;17;18;12.08;11;11
3;18;7;6.09;35;34
3;18;8;6.15;37;37
3;18;9;6.23;95;95
3;18;10;6.33;190;190
3;18;11;6.03;184;184
3;18;12;6.23;104;104
3;18;13;6.64;290;286
3;18;14;7.61;179;179
3;18;15;8.27;213;210
3;18;16;8.94;65;65
3;18;17;8.86;92;88
3;18;18;8.54;11;11
3;19;7;7.53;54;48
3;19;8;8.03;79;79
3;19;9;8.74;234;216
3;19;10;9.63;264;256
3;19;11;10.22;442;364
3;19;12;11.27;331;320
3;19;13;12.15;473;383
3;19;14;12.77;309;295
3;19;15;13.03;88;88
3;19;16;12.24;113;113
3;19;17;11.89;100;94
3;19;18;11.32;15;15
3;20;7;8.3;93;48
3;20;8;9.71;257;130
3;20;9;11.53;510;74
3;20;10;13.08;318;291
3;20;11;13.73;243;242
3;20;12;13.81;159;159
3;20;13;13.78;162;162
3;20;14;13.84;177;177
3;20;15;14.05;304;272
3;20;16;13.59;43;43
3;20;17;12.66;59;59
3;20;18;11.54;4;4
3;21;7;8.78;48;46
3;21;8;8.93;98;98
3;21;9;9.72;171;170
3;21;10;10.8;168;168
3;21;11;10.66;375;343
3;21;12;10.83;91;91
3;21;13;10.76;124;124
3;21;14;11.42;108;108
3;21;15;11.39;155;155
3;21;16;10.96;140;139
3;21;17;10.8;129;109
3;21;18;10.56;23;18
3;22;7;8.5;48;46
3;22;8;9.03;129;125
3;22;9;10.05;200;195
3;22;10;11.14;317;293
3;22;11;11.87;165;165
3;22;12;12.23;141;141
3;22;13;11.73;331;320
3;22;14;11.93;145;145
3;22;15;12.75;362;292
3;22;16;13.41;210;192
3;22;17;13.15;173;111
3;22;18;12.56;27;19
3;23;7;6.41;78;61
3;23;8;8.04;124;121
3;23;9;8.69;108;108
3;23;10;9.36;85;85
3;23;11;9.72;212;212
3;23;12;10.45;265;264
3;23;13;10.88;137;137
3;23;14;10.52;78;78
3;23;15;9.96;91;91
3;23;16;9.62;111;111
3;23;17;9.66;39;39
3;23;18;9.31;31;21
3;24;7;6.95;68;60
3;24;8;7.84;305;111
3;24;9;8.94;405;233
3;24;10;10.22;441;329
3;24;11;11.6;521;378
3;24;12;12.3;483;400
3;24;13;13.57;175;175
3;24;14;13.98;174;174
3;24;15;13.94;380;297
3;24;16;13.69;315;209
3;24;17;12.65;224;79
3;24;18;11.56;34;22
3;25;7;3.4;128;47
3;25;8;5.67;321;99
3;25;9;6.87;449;205
3;25;10;8.36;565;276
3;25;11;9.18;695;273
3;25;12;10.45;652;365
3;25;13;10.87;525;398
3;25;14;11.3;563;338
3;25;15;11.48;360;296
3;25;16;11.32;343;199
3;25;17;11.03;215;94
3;25;18;10.38;40;21
3;26;7;3.19;118;61
3;26;8;4.84;203;166
3;26;9;7.34;301;254
3;26;10;9.36;415;333
3;26;11;10.82;401;361
3;26;12;11.42;820;178
3;26;13;12.07;823;144
3;26;14;12.44;733;161
3;26;15;12.85;564;197
3;26;16;13.27;367;185
3;26;17;13.43;201;108
3;26;18;12.53;39;25
3;27;7;9.79;138;50
3;27;8;10.61;345;81
3;27;9;13.3;542;94
3;27;10;14.8;705;99
3;27;11;16.22;821;92
3;27;12;18.04;862;110
3;27;13;19.39;854;91
3;27;14;20.75;765;108
3;27;15;21.02;625;111
3;27;16;21.04;444;97
3;27;17;20.54;241;73
3;27;18;19.42;46;23
3;28;7;6.25;142;52
3;28;8;10.09;351;82
3;28;9;15.04;548;95
3;28;10;17.25;714;92
3;28;11;19;830;82
3;28;12;20.46;885;71
3;28;13;21.56;855;101
3;28;14;22.19;761;124
3;28;15;22.34;622;123
3;28;16;22.08;446;102
3;28;17;21.34;241;77
3;28;18;19.58;47;26
3;29;7;6.25;148;54
3;29;8;10.46;353;89
3;29;9;15.12;478;204
3;29;10;17.44;553;307
3;29;11;18.83;814;126
3;29;12;20.15;862;128
3;29;13;21.17;841;136
3;29;14;21.79;691;240
3;29;15;22;636;105
3;29;16;21.73;442;114
3;29;17;20.84;213;110
3;29;18;19.14;52;26
3;30;7;7.9;151;58
3;30;8;11.85;362;82
3;30;9;16.7;551;112
3;30;10;18.79;703;136
3;30;11;20.32;828;109
3;30;12;21.61;890;81
3;30;13;22.62;868;91
3;30;14;23.28;782;100
3;30;15;23.52;636;111
3;30;16;23.3;453;103
3;30;17;22.46;251;75
3;30;18;20.62;54;28
3;31;7;8.18;159;56
3;31;8;12.42;370;80
3;31;9;17.31;562;101
3;31;10;19.63;727;100
3;31;11;21.4;846;82
3;31;12;22.79;899;70
3;31;13;23.85;884;64
3;31;14;24.46;801;68
3;31;15;24.68;630;130
3;31;16;25.32;444;122
3;31;17;23.62;252;79
3;31;18;21.91;56;29
4;1;7;-0.29;155;71
4;1;8;8.61;364;103
4;1;9;12.19;562;113
4;1;10;14.25;695;165
4;1;11;15.92;803;171
4;1;12;17.59;820;221
4;1;13;18.78;780;251
4;1;14;20.34;752;165
4;1;15;20.29;627;137
4;1;16;20.19;462;100
4;1;17;19.49;264;67
4;1;18;18.23;44;35
4;2;7;6.52;171;61
4;2;8;10.44;374;98
4;2;9;13.14;561;124
4;2;10;15.13;712;146
4;2;11;16.89;812;163
4;2;12;18.51;847;184
4;2;13;19.84;844;157
4;2;14;20.76;769;143
4;2;15;21.29;634;131
4;2;16;21.38;458;113
4;2;17;21.04;258;82
4;2;18;19.84;61;34
4;3;7;8.51;175;65
4;3;8;12.3;375;105
4;3;9;15.2;567;126
4;3;10;17.45;717;146
